id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
857,"SALUM, Osvaldo Ruben","SALUM, Osvaldo Rubén",500,NULL,-0.34688054422431,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","SALTA",66
858,"SANCHEZ, Fernando","SANCHEZ, Fernando",501,NULL,1.20957261216675,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","COALICION CIVICA - ARI","CABA","CIUDAD de BUENOS AIRES",2
859,"SANTANDER, Mario Armando","SANTANDER, Mario Armando",502,NULL,-0.728968221057786,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PERONISMO FEDERAL","NOROESTE","LA RIOJA",46
860,"SAPAG, Silvia Estela","SAPAG, Silvia Estela",505,NULL,1.57543748076809,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","CUYO","NEUQUEN",58
861,"SARGHINI, Jorge Emilio","SARGHINI, Jorge Emilio",506,NULL,0.960246029279961,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","BUENOS AIRES","BUENOS AIRES",6
862,"SATRAGNO, Lidia Elsa","SATRAGNO, Lidia Elsa",508,NULL,1.84214607395185,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PRO","BUENOS AIRES","BUENOS AIRES",6
863,"SCALESI, Juan Carlos","SCALESI, Juan Carlos",509,NULL,-0.282256088235478,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","CONCERTACION ENTRERRIANA","SUR","RIO NEGRO",62
864,"SCIUTTO, Ruben Dario","SCIUTTO, Rubén Darío",511,NULL,-0.951100780969438,2008,"rsciutto_medium.jpg","http://s6.postimage.org/43xfs7ozh/rsciutto_medium.jpg","FRENTE PARA LA VICTORIA - PJ","SUR","TIERRA DEL FUEGO",94
865,"SEGARRA, Adela Rosa","SEGARRA, Adela Rosa",512,NULL,-1.49104048991274,2008,"asegarra_medium.jpg","http://s6.postimage.org/ynigymdz1/asegarra_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
866,"SEREBRINSKY, Gustavo Eduardo","SEREBRINSKY, Gustavo Eduardo",513,NULL,-1.0140697760773,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
867,"SESMA, Laura Judith","SESMA, Laura Judith",514,NULL,0.439171091212509,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO SOCIALISTA","CENTRO","CORDOBA",14
868,"SLUGA, Juan Carlos","SLUGA, Juan Carlos",516,NULL,-0.973722002888461,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
